Model,CV F1,CV F1 std,CV balanced acc,CV precision,CV recall,CV time (s)
Logistic Regression (Grid Search),0.4881045955379412,,,,,0.4082639217376709
Logistic Regression,0.485774904700202,0.018560070609192132,0.7287715630563516,0.3621196959321569,0.7384897403966926,0.15079808235168457
Decision Tree,0.4148819599733004,0.01731870264597271,0.6517631328562393,0.35705693038681785,0.49701740138354406,0.11076116561889648
Random Forest,0.4013421399962378,0.019059627262512334,0.6399602965819128,0.3617449105846557,0.452083565684341,0.9900679588317871
Gradient Boosting,0.3626271004014432,0.03459508244220787,0.6113028998469535,0.6658195779159601,0.250509824093218,0.9988808631896973
Dummy (majority),0.0,0.0,0.5,0.0,0.0,0.06671309471130371
