Model,CV F1,CV F1 std,CV balanced acc,CV precision,CV recall,CV time (s)
Logistic Regression (Grid Search),0.4897167079804941,,,,,0.6987121105194092
Logistic Regression,0.48663328230508895,0.01897219052223456,0.7296837885603257,0.36255882953821955,0.7405515960667957,0.3040621280670166
Decision Tree,0.41630409475626723,0.016160966890352558,0.6528289590478161,0.3585612865765969,0.4982246568102463,0.1512308120727539
Random Forest,0.3997946220759169,0.018360102366453905,0.6389278997499135,0.35995707325025766,0.45094720204797734,1.1261727809906006
Gradient Boosting,0.3626271004014432,0.03459508244220787,0.6113028998469535,0.6658195779159601,0.250509824093218,1.2883710861206055
Dummy (majority),0.0,0.0,0.5,0.0,0.0,0.08190727233886719
